project.data_product_final.productid,project.data_product_final.total_quantity,project.data_product_final.total_amount,project.data_product_final.numberof_customers
186,7,636.0,4
220,2,84.0,1
346,1,99.0,1
464,1,NULL,1
797,10,1117.5,6
1976,3,405.0,1
1978,3,374.970001221,1
2612,6,90.0,2
2613,5,35.0,2
2867,3,NULL,2
3350,55,4129.0,26
3937,7,488.75,3
4046,3,327.0,1
4076,3,56.25,1
4313,19,889.969970703,10
4316,2,120.0,1
4330,18,344.0,9
5259,29,974.5,12
5329,4,NULL,3
5331,3,123.75,1
5943,7,630.0,3
6748,3,78.75,1
6763,3,1866.0,2
6764,2,150.0,1
6766,8,276.0,2
7103,29,633.25,14
7706,13,89.9700012207,6
7746,1,NULL,1
7755,7,404.970001221,3
7869,1,NULL,1
8174,1,NULL,1
8344,3,405.0,1
8652,19,4126.02001953,9
8691,2,NULL,1
8709,9,449.940002441,4
8741,8,1399.5,3
8744,49,2828.25,26
8747,3,NULL,2
8773,3,340.0,2
8797,7,287.5,4
8937,7,1080.0,3
9025,3,135.0,1
9042,2,NULL,1
9073,2,109.0,2
9222,126,892.0,56
9223,11,77.0,4
9224,6,19.5,3
9225,9,72.0,4
9226,12,192.0,5
9227,6,82.5,3
9230,9,19.5,5
9231,19,76.0,10
9234,1,70.0,1
9235,2,12.0,1
9236,6,45.0,2
9237,34,136.5,16
9241,5,25.5,2
9243,13,13.5,7
9244,1,40.0,1
9488,2,240.0,1
9495,6,2366.0,4
9496,5,314.760009766,2
9588,85,13483.2197266,43
9608,59,4451.22021484,26
9633,26,1679.91003418,13
9651,3,292.5,1
9687,15,763.75,6
9688,2,NULL,1
9712,5,416.25,2
9770,7,168.0,4
9954,2,NULL,1
10114,3,341.700012207,1
10121,2,NULL,1
10124,2,138.0,1
10147,2,NULL,1
10180,31,1472.5,14
10185,39,2816.58007812,17
10192,6,155.399993896,2
10230,6,413.429992676,2
10350,3,360.0,1
10404,1,50.0,1
10474,16,96.0,8
10740,1,30.0,1
10744,6,1943.0,5
10909,2,NULL,1
11028,10,364.5,5
11031,10,543.470031738,5
11061,6,2325.0,3
11064,1,NULL,1
11068,3,147.0,1
11071,1,75.0,1
11158,2,280.0,1
11235,19,977.940002441,10
11236,15,191.940002441,7
11287,3,195.0,1
11288,2,NULL,1
11340,5,299.0,3
11429,3,19.5,1
11431,14,100.0,8
11433,2,12.0,1
12176,4,220.0,2
12192,6,520.0,4
12193,7,3224.0,3
12216,3,150.0,1
12336,4,206.86000061,2
12696,28,1816.0,13
12701,3,200.25,1
12967,1,60.0,1
12983,5,157.5,2
13109,2,270.0,1
14905,4,NULL,2
15079,6,414.0,1
15375,1,NULL,1
15868,2,NULL,1
15915,17,2241.5,7
16004,3,267.75,1
16493,6,118.919998169,3
16611,4,NULL,2
16849,11,127.5,6
16988,2,NULL,1
17163,12,326.25,4
17211,4,260.0,2
17267,6,157.5,3
17331,14,445.0,6
17479,2,NULL,1
17603,3,59.6999969482,1
17604,5,71.6999969482,2
17732,4,913.5,2
17734,2,NULL,1
18081,6,308.049987793,3
18261,21,2438.25,13
18265,2,NULL,1
18268,46,12606.4697266,26
18353,1,13.0,1
18355,17,112.5,9
18508,2,NULL,1
18512,4,123.5,2
18560,2,114.0,1
18810,1,NULL,1
18812,2,150.0,1
18993,1,25.0,1
19017,18,2324.69995117,7
19082,3,146.25,1
19267,1,NULL,1
19362,2,NULL,1
19397,2,NULL,1
19417,2,NULL,1
19420,56,11297.7001953,25
19427,28,2472.5,10
19497,5,870.0,3
19670,2,330.0,1
19681,1,NULL,1
19692,3,303.720001221,1
19848,1,NULL,1
20009,5,1939.0,2
20014,2,NULL,1
20138,2,NULL,1
20150,3,290.25,1
20247,1,108.0,1
20497,3,63.0,1
20498,6,110.25,2
20499,3,138.0,2
20551,3,225.0,1
20674,2,NULL,1
20681,1,55.0,1
20932,1,77.0,1
20937,2,NULL,1
20941,1,70.0,1
20974,2,130.0,1
21049,3,240.0,1
21165,1,NULL,1
21353,1,128.0,1
21599,1,55.0,1
21724,10,928.25,5
21759,2,180.0,1
21836,2,72.0,1
21858,7,166.5,3
21952,3,303.75,1
21955,3,190.0,2
22036,3,180.0,2
22048,1,NULL,1
22068,3,120.0,1
22218,1,30.0,1
22219,4,NULL,1
22233,5,361.25,2
22368,27,1598.75,13
22369,34,2094.9699707,18
22371,2,150.0,1
22372,14,553.5,6
22522,1,20.0,1
22523,2,NULL,1
22551,1,NULL,1
22745,1,NULL,1
22791,1,NULL,1
23047,1,130.0,1
23060,1,135.0,1
23340,1,40.0,1
23730,12,337.5,6
24029,10,220.440002441,5
24038,10,89.9700012207,4
24153,2,178.0,1
24223,2,158.0,1
24305,3,110.0,2
24315,7,315.0,4
24385,5,2763.0,4
24406,1,NULL,1
24438,3,360.0,1
24544,3,785.100036621,1
24614,6,390.0,2
24616,1,59.0,1
24656,2,NULL,1
25134,2,NULL,1
25229,2,218.0,1
25245,3,380.25,1
25255,1,74.0,1
25381,1,NULL,1
25385,10,895.5,4
25551,3,333.599975586,1
25701,3,134.0,2
25702,2,NULL,1
25881,2,432.0,1
26101,4,347.0,2
26260,3,112.5,1
26314,5,430.0,2
26450,6,NULL,3
26454,3,NULL,2
26555,3,753.75,1
26581,11,1782.0,6
26600,2,NULL,1
26801,2,990.0,1
26922,3,NULL,3
26938,7,1009.5,2
26940,2,278.0,1
26942,1,NULL,1
26944,2,180.0,1
26945,3,1212.75,1
27013,16,1585.0,9
27022,6,547.5,2
27063,2,NULL,1
27170,10,886.590026855,4
27176,1,45.0,1
27199,1,NULL,1
27297,5,144.899993896,2
27313,1,NULL,1
27314,1,50.0,1
27405,1,NULL,1
27463,3,66.0,2
27743,3,345.0,1
27882,2,92.0,1
27895,2,78.0,1
27896,2,72.0,1
27903,19,2885.0,9
27923,2,160.0,1
27930,3,380.0,2
28168,3,200.25,1
28246,3,209.700012207,1
28392,5,2330.0,2
28501,3,420.0,1
28537,2,NULL,1
28637,2,NULL,2
28638,7,303.5,4
28734,6,520.950012207,2
28768,9,451.220001221,4
28770,5,112.470001221,3
28814,2,120.0,1
28870,2,NULL,1
28887,1,93.0,1
28896,13,627.25,4
28899,1,55.0,1
28907,24,905.0,10
28927,2,NULL,1
28960,3,330.0,2
28967,1,99.0,1
29083,2,NULL,1
29220,13,247.259994507,7
29401,3,237.0,1
29402,8,685.299987793,4
29417,4,333.0,3
29522,2,NULL,1
29678,3,NULL,2
29772,1,120.0,1
29824,1,55.0,1
29868,3,47.0,2
29940,3,255.0,1
30048,3,150.0,1
30269,1,240.0,1
30395,3,270.0,1
30596,2,NULL,1
30700,1,556.0,1
30914,3,87.0,1
30979,3,1920.0,1
31011,4,NULL,3
31283,1,NULL,1
31338,1,NULL,1
31512,3,165.0,1
31626,2,NULL,1
32233,1,10.0,1
32234,1,NULL,1
32235,7,180.0,3
32236,25,112.0,12
32459,1,NULL,1
32703,2,NULL,1
32722,5,239.970001221,2
32753,3,209.700012207,1
32831,1,271.0,1
33018,5,272.25,2
33027,1,75.0,1
33063,1,46.0,1
33289,1,NULL,1
33350,3,345.0,1
33420,3,225.0,1
33435,3,213.75,1
33558,5,120.0,2
33962,6,552.5,3
34667,9,1296.0,4
34800,2,NULL,1
34940,2,NULL,1
34941,2,150.0,1
35120,3,59.9700012207,1
35121,2,NULL,1
35124,1,NULL,1
35157,1,NULL,1
35211,3,191.25,1
35243,2,240.0,1
35256,1,108.0,1
35275,1,108.0,1
35532,3,67.4700012207,1
35551,9,1709.9699707,4
35552,1,NULL,1
35803,1,65.0,1
35822,2,NULL,1
35842,1,NULL,1
35914,1,NULL,1
35994,2,194.0,1
36319,3,240.0,1
36321,2,NULL,1
36365,3,360.0,1
36405,2,NULL,1
36487,12,2717.5,5
36551,3,267.0,1
36644,2,16.0,1
36694,2,NULL,2
36909,3,297.0,1
37343,2,NULL,1
37446,2,120.0,1
37469,2,64.0,1
37481,6,192.0,3
37484,1,69.0,1
37776,3,151.86000061,1
37836,2,240.0,1
37860,6,414.0,2
37863,15,2451.0,6
37870,6,355.5,2
37917,2,112.0,1
37981,2,NULL,1
37995,1,120.0,1
38226,5,89.1000061035,2
38344,2,NULL,1
38375,2,458.0,1
38472,3,195.0,1
38601,7,428.0,4
38672,2,NULL,1
38673,2,NULL,1
38680,6,539.970031738,4
38684,7,214.440002441,3
39047,2,288.0,1
39169,2,240.0,1
39177,1,NULL,1
39269,1,NULL,1
39377,2,NULL,1
39383,1,99.0,1
39388,1,NULL,1
39394,3,315.0,1
39395,3,258.75,1
39401,8,1150.0,4
39494,5,359.760009766,2
39495,2,NULL,1
39499,3,359.760009766,1
39504,5,281.720001221,2
39509,4,299.970001221,2
39510,16,704.880004883,5
39789,1,120.0,1
39836,2,NULL,1
39841,3,597.0,1
39845,3,290.25,1
39859,2,298.0,1
39918,4,78.0,2
40108,2,NULL,1
40113,4,490.0,2
40119,3,190.0,2
40122,23,770.5,12
40132,2,138.0,2
40136,2,120.0,1
40198,4,NULL,1
40231,11,1894.0,7
40236,14,1284.69995117,8
40415,4,NULL,2
40451,3,NULL,2
40453,3,269.760009766,1
40597,2,NULL,1
40671,3,224.759994507,1
40677,1,NULL,1
40784,2,180.0,1
40817,17,3594.5,7
40843,6,1631.25,2
41433,1,97.0,1
41469,3,3139.0,2
41479,4,660.0,2
41579,2,NULL,1
41615,4,NULL,3
41829,6,NULL,3
41835,4,258.75,2
41848,1,NULL,1
42298,2,770.0,1
42502,3,299.700012207,1
42645,1,65.0,1
42876,4,NULL,2
42982,3,89.9700012207,1
43083,2,152.0,1
43086,3,NULL,2
43195,38,4286.75,18
43196,1,75.0,1
43198,5,300.0,2
43233,3,447.0,1
43597,1,160.0,1
43665,4,368.0,2
43800,2,NULL,1
43826,1,27.0,1
43831,11,1289.90002441,4
43890,4,NULL,3
43959,1,110.0,1
43990,3,165.0,1
43991,2,210.0,1
44034,8,1330.0,4
44163,2,NULL,1
44215,2,NULL,1
44270,3,384.75,1
44349,5,224.970001221,2
44366,1,89.0,1
44561,4,402.900024414,2
44564,2,NULL,1
44605,4,793.0,2
44627,2,NULL,1
44790,7,812.5,4
44797,3,3240.0,2
44853,3,279.959991455,1
44856,2,NULL,1
44923,16,320.5,6
44981,1,110.0,1
45122,4,419.25,2
45217,3,267.0,1
45244,3,315.0,1
45360,2,79.0,2
45557,2,90.0,1
45598,1,NULL,1
45682,19,449.940002441,11
45818,2,NULL,1
45984,7,900.0,3
46030,3,335.25,1
46159,3,NULL,2
46166,2,500.0,2
46175,13,329.970001221,8
46177,8,539.940002441,3
46188,3,269.970001221,1
46388,2,132.0,2
46398,3,297.0,1
46443,1,49.0,1
46460,11,343.0,5
46467,3,NULL,2
46468,3,123.75,1
46517,3,237.0,1
46550,1,NULL,1
46655,3,267.75,1
46672,1,20.0,1
46777,1,135.0,1
46896,3,175.5,1
46904,9,401.220031738,4
46908,3,209.970001221,1
46934,2,238.0,1
47031,2,900.0,1
47042,3,99.0,1
47183,17,439.0,10
47202,12,1020.0,6
47218,1,139.0,1
47220,2,NULL,1
47472,2,NULL,1
47487,2,218.0,1
47635,3,146.25,1
47708,2,NULL,1
47719,4,69.0,2
47738,10,3836.76000977,4
47753,1,NULL,1
47801,1,51.0,1
47802,3,180.0,1
47827,3,549.0,1
47878,3,210.0,1
47880,6,340.0,5
47974,2,180.0,1
48071,2,NULL,1
48075,2,NULL,1
48767,1,NULL,1
48805,3,129.600006104,1
48919,4,357.5,2
49073,4,1431.0,2
49419,7,578.0,4
49422,3,225.0,1
49478,4,180.0,1
49514,6,389.700012207,2
49632,3,840.0,1
49768,11,179.970001221,3
49771,10,626.16003418,3
50079,2,132.0,1
50083,2,192.0,1
50099,2,NULL,1
50389,1,NULL,1
50431,5,60.8999977112,2
50434,2,170.0,1
50437,2,NULL,1
50513,7,2185.0,3
50517,2,NULL,1
50522,1,NULL,1
51275,5,672.75,2
51414,4,312.75,2
51528,1,160.0,1
51596,1,NULL,1
51667,3,267.75,1
52164,3,289.5,1
52180,1,109.0,1
52790,1,45.0,1
52801,2,NULL,1
52867,1,NULL,1
52942,3,86.1000061035,1
52954,1,NULL,1
53065,2,64.0,1
53140,38,5624.5,18
53224,3,664.5,1
53342,3,155.25,1
53357,1,NULL,1
53482,2,NULL,1
53540,3,158.0,2
53604,3,155.25,1
53606,2,NULL,1
53870,7,630.0,3
53953,2,NULL,1
53954,3,124.020004272,1
54012,8,119.399993896,3
54029,1,NULL,1
54153,6,404.75,3
54154,1,NULL,1
54180,2,NULL,1
54256,1,NULL,1
54259,8,120.0,5
54665,8,267.970001221,4
54667,7,270.0,4
54776,10,140.0,8
54858,5,527.0,2
54871,5,425.0,2
54873,3,345.0,1
54921,3,337.5,1
54945,3,120.0,2
54994,3,777.0,1
54997,1,NULL,1
55004,2,NULL,1
55126,179,2468.69995117,84
55131,3,204.75,1
55200,7,95.6999969482,4
55337,3,1125.0,1
55628,5,531.219970703,2
55830,22,1345.0,10
55846,1,135.0,1
55847,3,210.0,1
55859,3,191.25,1
55867,1,NULL,1
55884,2,NULL,1
55959,1,NULL,1
55977,2,NULL,1
55995,1,NULL,1
56103,1,199.0,1
56136,2,NULL,1
56143,3,570.0,1
56274,2,NULL,1
56517,1,NULL,1
56551,3,270.0,1
56583,5,450.0,2
56584,6,630.0,2
56649,2,NULL,1
56706,3,393.75,1
56870,1,545.0,1
56977,4,NULL,1
57026,3,335.25,1
57424,2,190.0,1
57648,1,NULL,1
57675,1,NULL,1
57682,1,NULL,1
58016,1,NULL,1
58030,1,159.0,1
58058,3,506.25,1
58113,2,NULL,1
58129,5,141.0,2
58134,3,189.600006104,1
58153,3,359.760009766,1
58175,3,389.699981689,1
58186,14,1853.0,6
58187,1,NULL,1
58262,3,330.0,1
58462,5,495.0,2
58581,2,150.0,1
58604,2,NULL,1
58862,3,258.0,2
58867,9,495.0,4
58870,1,125.0,1
58902,1,NULL,1
58911,6,451.75,3
58915,1,NULL,1
58987,3,2676.0,1
59157,9,625.039978027,5
59162,2,NULL,1
59266,3,312.75,1
59322,11,191.25,5
59323,4,289.25,2
59343,3,NULL,2
59371,28,2700.4699707,14
59375,3,225.599990845,1
59444,4,NULL,2
59451,1,65.0,1
59547,2,178.0,1
59609,1,NULL,1
59614,2,NULL,1
59646,36,581.099975586,18
59693,3,292.5,1
59700,2,NULL,1
59712,2,NULL,1
59747,2,NULL,1
59767,2,90.0,1
59867,1,NULL,1
59963,2,NULL,1
60015,6,483.690002441,2
60133,7,159.25,5
60223,2,240.0,1
60285,3,108.0,1
60313,3,339.75,1
60321,1,135.0,1
60423,5,104.700004578,2
60549,1,36.0,1
60620,1,33.0,1
60622,8,159.899993896,4
60698,3,1785.0,1
60762,1,NULL,1
60789,3,447.75,1
60865,4,280.0,2
60868,3,110.0,2
60871,1,70.0,1
60872,10,618.719970703,4
60874,3,123.75,1
60880,5,315.0,2
60891,3,NULL,2
60934,3,178.5,1
60998,3,224.759994507,1
